"","Date","Close","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"286",2018-03-12,89.89,1.63958333333333,6,2.15,16.776,5,0.327916666666667,1.2,0.43,3.3552,1,0.6,0.6,0.2,1,0.2
"287",2018-03-13,89.66,-4.69791666666667,4,-0.7,23.045,1,-0.521990740740741,0.444444444444444,-0.0777777777777778,2.56055555555556,0.111111111111111,-0.555555555555556,-0.555555555555556,-0.333333333333333,0.777777777777778,-0.555555555555556
"288",2018-03-14,89.7,-3.37916666666667,-7,-7.8,13.549,-3,-0.563194444444445,-1.16666666666667,-1.3,2.25816666666667,-0.5,-0.333333333333333,-0.666666666666667,-0.666666666666667,0.666666666666667,0
"289",2018-03-15,90.14,-0.352733333333333,-5,-3.9,0.528,-4,-0.0587888888888889,-0.833333333333333,-0.65,0.0880000000000001,-0.666666666666667,-0.333333333333333,-0.333333333333333,0,0,-0.333333333333333
"290",2018-03-16,90.23,-0.479166666666666,-2,-0.45,7.809,4,-0.119791666666667,-0.5,-0.1125,1.95225,1,0,0,-0.5,0.5,0
"291",2018-03-19,89.77,1.80327380952381,-2,-2.1,2.236,-1,0.257610544217687,-0.285714285714286,-0.3,0.319428571428571,-0.142857142857143,0.142857142857143,-0.142857142857143,-0.714285714285714,0.428571428571429,-0.428571428571429
"292",2018-03-20,90.37,1.14702380952381,-3,1.45,3.237,0,0.191170634920635,-0.5,0.241666666666667,0.5395,0,0.333333333333333,-0.666666666666667,0.666666666666667,0,0
"293",2018-03-21,89.78,1.05535714285714,-1,2.45,7.622,3,0.211071428571429,-0.2,0.49,1.5244,0.6,0.6,-0.6,0.6,1,0.2
"294",2018-03-22,89.86,0.139583333333333,-6,-2.2,4.793,-9,0.0232638888888888,-1,-0.366666666666667,0.798833333333333,-1.5,0.333333333333333,-0.666666666666667,-0.333333333333333,0.333333333333333,-0.666666666666667
"295",2018-03-23,89.44,-0.291666666666667,-3,-2,4.42,-4,-0.0972222222222223,-1,-0.666666666666667,1.47333333333333,-1.33333333333333,-0.333333333333333,-0.333333333333333,-0.333333333333333,1,-1
"296",2018-03-26,89.03,-0.587499999999997,-2,-3.15,5.336,-6,-0.146874999999999,-0.5,-0.7875,1.334,-1.5,0.5,-0.5,0,0.5,-0.5
"297",2018-03-27,89.37,0.238194444444445,-2,0.6,6.36,-10,0.0340277777777779,-0.285714285714286,0.0857142857142857,0.908571428571429,-1.42857142857143,0.142857142857143,-0.428571428571429,-0.142857142857143,0.428571428571429,-0.714285714285714
